String,Ref. Ten. (lbs),Swing Speed,Material,Stiffness (lb/in),Tension Loss (%),Spin Potential
LaserFibre 1200 16 (1.30),51,Fast,Nylon,137.7,18.4,5.7
Luxilon 4G 16 (1.30),51,Fast,Polyester,286.9,23.5,
Luxilon 4G 16L (1.25),51,Fast,Polyester,258.9,21.3,3.9
Luxilon 4G Rough 16L,51,Fast,Polyester,216.0,32.8,4.2
Luxilon 4G S 15,51,Fast,Polyester,314.3,23.5,
Luxilon 4G Soft 1.25,51,Fast,Polyester,217.2,25.4,6.7
Weiss Cannon 6 Star 16 (1.30),51,Fast,Nylon,151.4,16.3,4.7
Double AR 666 (1.30),51,Fast,Nylon,161.7,24.3,5.8
Gosen A.K. Control 16,51,Fast,Nylon,156.6,22.4,5.4
Babolat Addiction 16,51,Fast,Nylon,167.4,20.1,3.1
Babolat Addiction 17,51,Fast,Nylon,153.7,20.1,2.6
Luxilon Adrenaline 16,51,Fast,Polyester,212.6,45.3,3.6
Luxilon Adrenaline 16L/1.25,51,Fast,Polyester,202.9,44.3,3.5
Luxilon Adrenaline 17/1.20,51,Fast,Polyester,208.0,41.8,2.9
Luxilon Adrenaline Rough 16L/1.25,51,Fast,Polyester,202.9,44.8,3.3
Gosen AK Control 17 (1.24),51,Fast,Nylon,148.6,17.3,7.6
Gosen AK Pro 16,51,Fast,Nylon,173.7,21.9,4.3
Gosen AK Pro 17,51,Fast,Nylon,162.3,20.7,4.4
Gosen AK Pro CX 16 (1.30),51,Fast,Nylon,158.3,14.1,6.5
Gosen AK Pro CX 17 (1.24),51,Fast,Nylon,156.6,14.7,6.2
Gosen AK Pro Spin 15L (1.38),51,Fast,Nylon,168.6,11.7,6.0
Luxilon ALU Power 125/16L,51,Fast,Polyester,209.2,46.6,5.8
Luxilon ALU Power Feel 18/1.20,51,Fast,Polyester,186.9,42.9,5.4
Luxilon ALU Power Rough 16L (1.25),51,Fast,Polyester,209.2,39.6,6.5
Luxilon Alu Power Soft 1.25,51,Fast,Polyester,197.7,36.6,6.9
Luxilon Alu Power Vibe 16 (1.25),51,Fast,Polyester,208.0,34.3,5.0
Klip Armour Pro 16/1.30,51,Fast,Gut,109.2,16.3,1.4
Gamma Asterisk 16,51,Fast,Nylon,156.6,21.2,3.8
Gamma Asterisk Spin 16,51,Fast,Nylon,149.7,24.5,3.9
Gamma Asterisk Tour 16,51,Fast,Nylon/Zyex,162.3,24.6,3.4
Pacific ATP Poly Power Pro 16L,51,Fast,Polyester,194.3,51.1,5.0
Babolat Attraction 16,51,Fast,Nylon/Polyurethane,157.7,20.0,2.7
IsoSpeed Axon Mono 16L,51,Fast,Polyester,199.5,34.4,3.2
IsoSpeed Axon Multi 16L,51,Fast,Nylon/Polyolefin,126.3,29.1,3.0
Babolat Ballistic Polymono 16,51,Fast,Polyester,217.7,45.9,4.7
Solinco Barb Wire 16,51,Fast,Polyester,214.3,40.2,4.4
Solinco Barb Wire 16L (1.25),51,Fast,Polyester,182.9,33.5,5.6
Solinco Barb Wire 17 (1.20),51,Fast,Polyester,186.3,42.6,4.9
Prince Beast XP 16,51,Fast,Polyester,198.9,41.7,3.9
Luxilon Big Banger Ace 18 (1.12),51,Fast,Polyester,203.5,46.1,4.0
Luxilon Big Banger ALU Power Fluoro 17,51,Fast,Polyester,206.9,44.8,
Luxilon Big Banger ALU Power Spin 127/16,51,Fast,Polyester,213.7,45.0,4.3
Luxilon Big Banger Original 130/16,51,Fast,Polyester,213.2,51.4,4.8
Luxilon Big Banger Rough 130/16,51,Fast,Polyester,212.6,52.0,4.4
Luxilon Big Banger Timo 17 (1.22),51,Fast,Polyester,206.9,44.3,3.9
Luxilon Big Banger TiMO 17L (1.17),51,Fast,Polyester,204.0,45.9,4.4
Luxilon Big Banger Timo 18 (1.10),51,Fast,Polyester,189.2,45.4,3.6
Luxilon Big Banger XP 125/16L,51,Fast,Polyester,209.2,49.0,4.1
Luxilon Big Banger XP 15L (1.38),51,Fast,Polyester,236.6,48.0,3.6
Tourna Big Hitter 16,51,Fast,Polyester,225.7,39.8,
Tourna Big HItter Black 7 16 (1.25),51,Fast,Polyester,222.9,24.3,5.6
Tourna Big Hitter Black 7 17,51,Fast,Polyester,175.5,43.0,6.3
Tourna Big Hitter Blue 16,51,Fast,Polyester,226.3,37.3,
Tourna Big Hitter Blue 17,51,Fast,Polyester,222.3,36.3,4.9
Tourna Big Hitter Blue Rough 16,51,Fast,Polyester,222.3,40.5,3.4
Tourna Big Hitter Blue Rough 17,51,Fast,Polyester,209.7,43.8,3.2
Tourna Big HItter Silver 16,51,Fast,Polyester,209.2,26.3,6.8
Tourna Big Hitter Silver 17,51,Fast,Polyester,185.7,44.0,5.4
Tourna Big Hitter Silver 7 Tour 16 (1.30),51,Fast,Polyester,238.3,18.7,
Tourna Big Hitter Silver Rough 16,51,Fast,Polyester,206.3,45.0,4.5
Tourna Big Hitter Silver Rough 17,51,Fast,Polyester,197.2,42.1,4.1
Weiss Cannon Black 5 Edge 17 (1.24),51,Fast,Polyester,215.5,32.8,4.7
Tecnifibre Black Code 15L (1.32),51,Fast,Polyester,210.3,29.5,6.1
Tecnifibre Black Code 16,51,Fast,Polyester,249.7,37.3,
Tecnifibre Black Code 17,51,Fast,Polyester,236.0,40.2,4.2
Tecnifibre Black Code 18,51,Fast,Polyester,202.9,40.7,4.6
Tecnifibre Black Code 4S 16 (1.30),51,Fast,Polyester,242.9,25.5,9.2
Tecnifibre Black Code 4S 17 (1.25),51,Fast,Polyester,209.2,28.3,9.8
Tecnifibre Black Code 4S 18 (1.20),51,Fast,Polyester,210.3,25.4,6.1
Alien Black Diamond 16,51,Fast,Polyester,190.3,50.7,4.5
IsoSpeed Black Fire 17,51,Fast,Polyester,204.6,39.3,5.6
Genesis Black Magic 16 (1.29),51,Fast,Polyester,207.5,36.1,6.2
Kirschbaum Black Shark 16 (1.30),51,Fast,Polyester,223.5,41.2,5.4
Kirschbaum Black Shark 17 (1.25),51,Fast,Polyester,216.6,38.4,5.8
Polyfibre Black Venom 16 (1.30),51,Fast,Polyester,180.0,56.9,4.3
Polyfibre Black Venom 16L (1.25),51,Fast,Polyester,170.3,60.4,
Polyfibre Black Venom Rough 16L (1.25),51,Fast,Polyester,162.3,60.8,6.2
Dunlop Black Widow 16,51,Fast,Polyester,193.2,38.2,5.2
Dunlop Black Widow 17,51,Fast,Polyester,216.6,31.6,5.4
Dunlop Black Widow 18 (1.21),51,Fast,Polyester,194.9,30.9,5.8
Tourna Black Zone 16,51,Fast,Polyester,197.2,29.5,5.6
Tourna Black Zone 17,51,Fast,Polyester,186.9,31.5,6.0
Weiss Cannon Blue Rock N Power,51,Fast,Polyester,224.0,27.0,11.1
Boris Becker Bomber 16,51,Fast,Polyester,204.6,46.9,5.1
Boris Becker Bomber 17,51,Fast,Polyester,182.3,48.4,
Boris Becker Bomber NYC 16 (1.28),51,Fast,Polyester,208.0,28.2,5.3
Boris Becker Bomber NYC 17 (1.23),51,Fast,Polyester,205.7,27.4,5.5
One Strings Carbon NRG 16,51,Fast,Polyester,180.0,42.3,5.1
One Strings Carbon Tour 17 (1.25),51,Fast,Polyester,229.2,25.4,
Poly Star Classic 16 (1.30),51,Fast,Polyester,185.7,55.8,4.2
Poly Star Classic 16L (1.25),51,Fast,Polyester,174.9,54.5,4.4
Poly Star Classic 17 (1.20),51,Fast,Polyester,166.9,61.6,4.0
Pacific Classic Natural Gut 16,51,Fast,Gut,100.0,15.4,2.8
MSV Co-Focus 17L (1.18),51,Fast,Polyester,185.7,31.0,7.2
MSV Co.-Focus 16L,51,Fast,Polyester,184.6,49.7,4.2
Polyfibre Cobra 17/1.20,51,Fast,Polyester,154.3,63.7,3.6
Mantis Comfort Poly 16,51,Fast,Polyester,224.6,40.2,4.8
Dunlop Comfort Poly 17,51,Fast,Polyester,236.6,42.1,4.5
Mantis Comfort Synthetic 16,51,Fast,Nylon,149.2,24.4,3.8
Dunlop Comfort Synthetic 16,51,Fast,Nylon,177.2,19.7,4.1
Dunlop Comfort Synthetic 17,51,Fast,Nylon,184.0,19.4,
Kirschbaum Competition 16/1.30,51,Fast,Polyester,210.3,47.5,4.9
Kirschbaum Competition 17 (1.25),51,Fast,Polyester,210.3,47.5,4.5
Kirschbaum Competition 17L (1.20),51,Fast,Polyester,190.3,45.0,4.1
Gosen Compositemaster I 16,51,Fast,Nylon,165.2,21.3,4.2
Gosen Compositemaster II 16,51,Fast,Nylon,150.9,23.5,4.5
Solinco Confidential 16 (1.30),51,Fast,Polyester,222.3,22.2,6.4
Babolat Conquest 16,51,Fast,Nylon,174.9,30.2,4.3
IsoSpeed Control 16,51,Fast,Nylon/Polyolefin,149.7,25.3,
IsoSpeed Control Classic 16,51,Fast,Polyolefin,136.0,32.1,2.3
IsoSpeed Cream 17 (1.28),51,Fast,Polyester,177.7,28.1,
Topspin Cyber Blue 16,51,Fast,Polyester,189.7,43.3,5.8
Topspin Cyber Blue 17,51,Fast,Polyester,183.5,46.1,5.1
Topspin Cyber Blue 17L (1.20),51,Fast,Polyester,184.6,33.7,5.1
Topspin Cyber Delta 17 (1.26),51,Fast,Polyester,200.6,34.7,5.6
Topspin Cyber Flash 16,51,Fast,Polyester,185.2,46.5,4.8
Topspin Cyber Flash 17,51,Fast,Polyester,158.9,54.9,4.2
Topspin Cyber Flash 17L,51,Fast,Polyester,144.0,59.1,4.6
Topspin Cyber Whirl 17 (1.24),51,Fast,Polyester,204.0,27.0,5.8
Volkl Cyclone 16,51,Fast,Polyester,197.2,47.9,6.2
Volkl Cyclone 17,51,Fast,Polyester,191.5,48.1,5.8
Volkl Cyclone 18,51,Fast,Polyester,181.2,48.1,7.1
Volkl Cyclone 18L (1.15),51,Fast,Polyester,188.0,29.4,9.0
Volkl Cyclone 19 (1.10),51,Fast,Polyester,182.9,33.2,8.2
Volkl Cyclone Tour 16 (1.30),51,Fast,Polyester,167.4,52.1,8.7
Volkl Cyclone Tour 17 (1.25),51,Fast,Polyester,170.9,52.6,6.1
Volkl Cyclone Tour 18 (1.20),51,Fast,Polyester,159.4,51.3,7.8
Double AR Diablo (1.24),51,Fast,Polyester,166.9,55.4,7.4
Double AR Diablo (1.31),51,Fast,Polyester,169.7,55.7,7.7
Prince Diablo Prism 17,51,Fast,Polyester,229.2,35.9,
Dunlop DNA 16 (1.30),51,Fast,Nylon,146.9,25.1,3.6
Dunlop DNA 17 (1.22),51,Fast,Nylon,145.2,28.2,4.1
Babolat Duralast 16,51,Fast,Polyester,207.5,48.5,
Babolat Duralast 17,51,Fast,Polyester,219.5,43.0,
Tecnifibre Duramix HD 16,51,Fast,Nylon/Polyester,162.3,34.1,2.2
Tecnifibre Duramix HD 17,51,Fast,Nylon/Polyester,169.7,32.0,1.7
Ashaway Dynamite 17,51,Fast,Nylon/Zyex,127.4,29.9,3.0
Ashaway Dynamite Soft 17,51,Fast,Nylon/Zyex,120.0,28.1,2.6
Ashaway Dynamite Soft 18,51,Fast,Nylon/Zyex,108.0,28.1,
Ashaway Dynamite WB 16,51,Fast,Nylon/Zyex,125.2,32.9,3.3
Yonex Dynawire 16 (1.30),51,Fast,Nylon,154.9,13.7,
Tecnifibre E-Matrix 16,51,Fast,Nylon/Polyurethane,143.4,20.4,2.7
Tecnifibre E-Matrix 17,51,Fast,Nylon,143.4,19.1,2.4
Luxilon ECO Power 17 (1.25),51,Fast,Polyester,194.9,34.5,8.3
Luxilon ECO Spin 17 (1.25),51,Fast,Polyester,213.2,26.4,5.3
Luxilon Element 1.30,51,Fast,Polyester,191.5,44.3,6.6
Luxilon Element 16L (1.25),51,Fast,Polyester,208.0,33.6,5.5
Luxilon Element Rough 16 (1.30),51,Fast,Polyester,198.3,34.9,7.0
Luxilon Element Soft IR 1.27,51,Fast,Polyester,197.7,43.7,7.0
Diadem Elite XT 16,51,Fast,Polyester,204.6,40.4,8.7
Diadem Elite XT 17,51,Fast,Polyester,189.2,31.7,9.3
Wilson Enduro Gold 16,51,Fast,Polyester,213.7,47.1,
Wilson Enduro Mono 16L,51,Fast,Polyester,230.3,41.5,
Wilson Enduro Pro 16,51,Fast,Polyester,219.5,36.3,4.7
Wilson Enduro Pro 17 (1.25),51,Fast,Nylon/Polyester,226.9,32.9,4.0
Wilson Enduro Tour 16,51,Fast,Polyester,251.5,37.6,5.2
Wilson Enduro Tour 17,51,Fast,Polyester,169.7,62.4,4.8
Wilson Enduro Tour 18,51,Fast,Polyester,159.4,63.7,
IsoSpeed Energetic 17,51,Fast,Nylon/Polyolefin,156.6,34.3,1.9
IsoSpeed Energetic Plus 16,51,Fast,Nylon/Polyester,155.4,22.4,2.4
Poly Star Energy 16 (1.30),51,Fast,Polyester,173.2,66.3,4.0
Poly Star Energy 16L (1.25),51,Fast,Polyester,169.7,68.0,3.7
Poly Star Energy 17 (1.20),51,Fast,Polyester,165.2,63.6,4.0
Gamma ESP 16,51,Fast,Nylon,157.7,27.1,2.6
Head ETS 16,51,Fast,Nylon,156.0,24.7,1.9
Head ETS 17,51,Fast,Nylon,152.0,21.3,1.9
Klip Excellerator 16/1.30,51,Fast,Nylon,160.6,20.1,2.7
Weiss Cannon Explosiv 1.30,51,Fast,Nylon,150.9,25.3,4.0
Dunlop Explosive 16,51,Fast,Polyester,233.2,35.8,4.8
Dunlop Explosive 17 (1.26),51,Fast,Polyester,192.0,32.4,5.1
Dunlop Explosive 18 (1.20),51,Fast,Polyester,194.3,28.7,5.0
Dunlop Explosive Bite 17 (1.27),51,Fast,Polyester,201.7,28.3,
Dunlop Explosive Poly Max 16,51,Fast,Nylon/Polyester,158.3,23.5,3.4
Dunlop Explosive Speed 17 (1.25),51,Fast,Polyester,249.7,17.6,
Dunlop Explosive Synthetic 16,51,Fast,Nylon,179.5,20.6,3.6
Dunlop Explosive Synthetic Gut 17,51,Fast,Nylon,175.5,18.3,
Dunlop Explosive Tour 16 (1.30),51,Fast,Polyester,200.6,48.2,
Wilson Extreme 16 Synthetic Gut,51,Fast,Nylon,174.3,20.0,3.2
Head Fibergel Power 16,51,Fast,Nylon,153.2,32.8,3.0
